Database,Category,Subcategory,Paper Title
scopus,emotion,papers,emotion recognition based on multi-modal physiological signals and transfer learning
scopus,emotion,papers,hybrid approach for human emotion recognition from speech
scopus,emotion,papers,"a multitask learning model for multimodal sarcasm, sentiment and emotion recognition in conversations"
scopus,emotion,papers,viper: video-based perceiver for emotion recognition
scopus,emotion,papers,graph theoretical analysis of eeg functional connectivity patterns and fusion with physiological signals for emotion recognition
scopus,emotion,papers,contrastive learning based modality-invariant feature acquisition for robust multimodal emotion recognition with missing modalities
scopus,emotion,papers,depressive emotion tendency detection for users on social platform based on fusion of graph and text
scopus,emotion,papers,multilevel transformer for multimodal emotion recognition
scopus,emotion,papers,attention-based multimodal contextual fusion for sentiment and emotion classification using bidirectional lstm
scopus,emotion,papers,"the muse 2022 multimodal sentiment analysis challenge: humor, emotional reactions, and stress"
scopus,emotion,papers,real-time video emotion recognition based on reinforcement learning and domain knowledge
scopus,emotion,papers,"multimodal emotion recognition based on the fusion of vision, eeg, ecg, and emg signals"
scopus,emotion,papers,fusing modality-specific representations and decisions for multimodal emotion recognition
scopus,emotion,papers,elderreact: a multimodal dataset for recognizing emotional response in aging adults
scopus,emotion,papers,review of eye tracking metrics involved in emotional and cognitive processes
scopus,emotion,papers,multi-modal emotion recognition using speech features and text-embedding
scopus,emotion,papers,icon: interactive conversational memory network for multimodal emotion detection
scopus,emotion,papers,emotion-based reinforcement attention network for depression detection on social media: algorithm development and validation
scopus,emotion,papers,hierarchical weighted framework for emotional distress detection using personalized affective cues
scopus,emotion,papers,multi-modal fusion emotion recognition method of speech expression based on deep learning
scopus,emotion,papers,adversarial alignment and graph fusion via information bottleneck for multimodal emotion recognition in conversations
scopus,emotion,papers,mmrbn: rule-based network for multimodal emotion recognition
scopus,emotion,papers,recognition of human inner emotion based on two-stage fca-relieff feature optimization
scopus,emotion,papers,group gated fusion on attention-based bidirectional alignment for multimodal emotion recognition
scopus,emotion,papers,integrating representation subspace mapping with unimodal auxiliary loss for attention-based multimodal emotion recognition
scopus,emotion,papers,human emotion recognition by integrating facial and speech features: an implementation of multimodal framework using cnn
scopus,emotion,papers,affect-gcn: a multimodal graph convolutional network for multi-emotion with intensity recognition and sentiment analysis in dialogues
scopus,emotion,papers,subject wise data augmentation based on balancing factor for quaternary emotion recognition through hybrid deep learning model
scopus,emotion,papers,learning fine-grained cross modality excitement for speech emotion recognition
scopus,emotion,papers,a high speed inference architecture for multimodal emotion recognition based on sparse cross modal encoder
scopus,emotion,papers,enhanced multimodal emotion recognition in healthcare analytics: a deep learning based model-level fusion approach
scopus,emotion,papers,multi-modal based fusion emotion identification using inception v3 algorithm
scopus,emotion,papers,self-supervised cross-modal pretraining for speech emotion recognition and sentiment analysis
scopus,emotion,papers,end-to-end learning for multimodal emotion recognition in video with adaptive loss
scopus,emotion,papers,multimodal facial emotion recognition using improved convolution neural networks model
scopus,emotion,papers,multimodal emotion recognition in polish (student consortium)
scopus,emotion,papers,vedanet: a dense blocked network for visual emotion analysis in multimedia retrieval
scopus,emotion,papers,physiological signals-based emotion recognition via high-order correlation learning
scopus,emotion,papers,audio and video-based emotion recognition using multimodal transformers
scopus,emotion,papers,deep learning-based automated emotion recognition using multi modal physiological signals and time-frequency methods
scopus,emotion,papers,multimodal individual emotion recognition with joint labeling based on integrated learning and clustering
scopus,emotion,papers,speech emotion recognition using multimodal feature fusion with machine learning approach
scopus,emotion,papers,deep residual adaptive neural network based feature extraction for cognitive computing with multimodal sentiment sensing and emotion recognition process
scopus,emotion,papers,multimodal emotional state recognition using sequence-dependent deep hierarchical features
scopus,emotion,papers,a multimodal shared network with a cross-modal distribution constraint for continuous emotion recognition
scopus,emotion,papers,music emotion analysis based on multimodal intelligence
scopus,emotion,papers,a deep residual-based model on multi-branch aggregation for stress and emotion recognition through biosignals
scopus,emotion,papers,privacy enhanced multimodal neural representations for emotion recognition
scopus,emotion,papers,empirical study of emotional state recognition using multimodal fusion framework
scopus,emotion,papers,cross-cultural emotion recognition with eeg and eye movement signals based on multiple stacked broad learning system
scopus,emotion,papers,an audio processing approach using ensemble learning for speech-emotion recognition for children with asd
scopus,emotion,papers,muti-modal emotion recognition via hierarchical knowledge distillation
scopus,emotion,papers,cross-modality learning by exploring modality interactions for emotion reasoning
scopus,emotion,papers,cogmen: contextualized gnn based multimodal emotion recognition
scopus,emotion,papers,heterogeneous convolutional neural networks for emotion recognition combined with multimodal factorised bilinear pooling and mobile application recommendation
scopus,emotion,papers,enterprise strategic management from the perspective of business ecosystem construction based on multimodal emotion recognition
scopus,emotion,papers,a multimodal fusion-based deep learning framework combined with keyframe extraction and spatial and channel attention for group emotion recognition from videos
scopus,emotion,papers,multimodal cross- and self-attention network for speech emotion recognition
scopus,emotion,papers,adapted dynamic memory network for emotion recognition in conversation
scopus,emotion,papers,a multimodal teacher speech emotion recognition method in the smart classroom
scopus,emotion,papers,multimodal emotion recognition in multi-cultural conditions
scopus,emotion,papers,context-aware based visual-audio feature fusion for emotion recognition
