Title,Authors,URL,Models,accuracy,precision,recall,f1,rmse,mse,bleu,auc,rouge
Estimating the Emotion of Disgust in {G}reek Parliament Records,"Lislevand, Vanessa  and
Pavlopoulos, John  and
Louridas, Panos  and
Dritsa, Konstantina",https://aclanthology.org/2024.woah-1.9,"Transformers, Transformer, Transformer-, BERT, XLNet",,,,,,,,,
Topic Bias in Emotion Classification,"Wegge, Maximilian  and
Klinger, Roman",https://aclanthology.org/2024.wnut-1.9,"transformer, transformers, ROBERTA, BERT, transformer-",,,,,,,,,
{E}mo{M}ix-3{L}: A Code-Mixed Dataset for {B}angla-{E}nglish-{H}indi for Emotion Detection,"Raihan, Nishat  and
Goswami, Dhiman  and
Mahmud, Antara  and
Anastasopoulos, Antonios  and
Zampieri, Marcos",https://aclanthology.org/2024.wildre-1.2,"transformer, Transformers, roBERTa, GPT, GPT-3.5-, GPT-3.5, BERT",,,,0.67,,,,,
"Ice and Fire: Dataset on Sentiment, Emotions, Toxicity, Sarcasm, Hate speech, Sympathy and More in {I}celandic Blog Comments","Fri{\dh}riksd{\'o}ttir, Steinunn Rut  and
Simonsen, Annika  and
{\'A}smundsson, Atli Sn{\ae}r  and
Fri{\dh}j{\'o}nsd{\'o}ttir, Gu{\dh}r{\'u}n Lilja  and
Ingason, Anton Karl  and
Sn{\ae}bjarnarson, V{\'e}steinn  and
Einarsson, Hafsteinn",https://aclanthology.org/2024.trac-1.9,"GPT-, BERT, GPT-4",0.128,,,0.836,,,,,
"Offensiveness, Hate, Emotion and {GPT}: Benchmarking {GPT}3.5 and {GPT}4 as Classifiers on {T}witter-specific Datasets","Bauer, Nikolaj  and
Preisig, Moritz  and
Volk, Martin",https://aclanthology.org/2024.trac-1.14,"transformer, GPT-4, GPT, GPT-3, GPT-3.5",,,,0.72,,,,,
Identifying Emotional and Polar Concepts via Synset Translation,"Woudstra, Logan  and
Dawodu, Moyo  and
Igwe, Frances  and
Li, Senyu  and
Shi, Ning  and
Hauer, Bradley  and
Kondrak, Grzegorz",https://aclanthology.org/2024.starsem-1.12,"GPT, GPT-3.5",,,,,,,,,
Disambiguating Emotional Connotations of Words Using Contextualized Word Representations,"Hosseini, Akram Sadat  and
Staab, Steffen",https://aclanthology.org/2024.starsem-1.21,"Transformer, BERT+DK, RNNs, transformers, lstm, RoBERTa, BERT, XLNet, GPT-2, bert-",,,,,,,,,
{P}ersian{E}mo: Enhancing {F}arsi-{D}ari Emotion Analysis with a Hybrid Transformer and Recurrent Neural Network Model,"Hussiny, Mohammad Ali  and
Payenda, Mohammad Arif  and
{\O}vrelid, Lilja",https://aclanthology.org/2024.sigul-1.31,"SVM, ensemble, Transformer, LSTM, xlnet, transformers, CNN, RoBERTa-, RoBERTa, BERT, GRU",0.64,,,,,,,,
Sociolinguistically Informed Interpretability: A Case Study on {H}inglish Emotion Classification,"Tatariya, Kushal  and
Lent, Heather  and
Bjerva, Johannes  and
de Lhoneux, Miryam",https://aclanthology.org/2024.sigtyp-1.9,"BERT, transformers",0.58,,,,,,,,
nicolay-r at {S}em{E}val-2024 Task 3: Using Flan-T5 for Reasoning Emotion Cause in Conversations with Chain-of-Thought on Emotion States,"Rusnachenko, Nicolay  and
Liang, Huizhi",https://aclanthology.org/2024.semeval-1.4,,,,,,,,,,
